probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-7.500000E+01,-2.495934e-07,9.91e+37,56.04687,21508.0,
-7.466500E+01,-2.2837979999999997e-07,9.91e+37,57.1084,21508.0,
-7.433500E+01,-2.218134e-07,9.91e+37,58.184569999999994,21508.0,
-7.400000E+01,-2.1878299999999998e-07,9.91e+37,59.258790000000005,21508.0,
-7.366500E+01,-2.1019639999999998e-07,9.91e+37,60.31836,21508.0,
-7.333500E+01,-2.0009470000000002e-07,9.91e+37,61.37891,21508.0,
-7.300000E+01,-1.9807420000000001e-07,9.91e+37,62.438480000000006,21508.0,
-7.266500E+01,-1.894877e-07,9.91e+37,63.49805,21508.0,
-7.233500E+01,-1.864572e-07,9.91e+37,64.55664,21508.0,
-7.200000E+01,-1.8544699999999998e-07,9.91e+37,65.62012,21508.0,
-7.166500E+01,-1.778706e-07,9.91e+37,66.69824,21508.0,
-7.133500E+01,-1.753452e-07,9.91e+37,67.75879,21508.0,
-7.100000E+01,-1.5716200000000001e-07,9.91e+37,68.82030999999999,21508.0,
-7.066500E+01,-1.546365e-07,9.91e+37,69.8916,21508.0,
-7.033500E+01,-1.394837e-07,9.91e+37,70.9668,21508.0,
-7.000000E+01,-1.3897870000000001e-07,9.91e+37,72.04491999999999,21508.0,
-6.966500E+01,-1.420093e-07,9.91e+37,73.10547,21508.0,
-6.933500E+01,-1.23826e-07,9.91e+37,74.16699,21508.0,
-6.900000E+01,-1.233209e-07,9.91e+37,75.24023000000001,21508.0,
-6.866500E+01,-1.172598e-07,9.91e+37,76.31836,21508.0,
-6.833500E+01,-1.117038e-07,9.91e+37,77.37695,21508.0,
-6.800000E+01,-1.005918e-07,9.91e+37,78.43359,21508.0,
-6.766500E+01,-9.402560000000002e-08,9.91e+37,79.49512,21508.0,
-6.733500E+01,-7.533725e-08,9.91e+37,80.55273000000001,21508.0,
-6.700000E+01,-5.8164239999999994e-08,9.91e+37,81.60937,21508.0,
-6.666500E+01,-5.6649e-08,9.91e+37,82.67285,21508.0,
-6.633500E+01,-5.260826e-08,9.91e+37,83.7334,21508.0,
-6.600000E+01,-3.9980989999999996e-08,9.91e+37,84.79199,21508.0,
-6.566500E+01,-2.280792e-08,9.91e+37,85.85059,21508.0,
-6.533500E+01,-2.785883e-08,9.91e+37,86.91309,21508.0,
-6.500000E+01,1.9414010000000003e-09,9.91e+37,87.97363,21508.0,
-6.466500E+01,1.355731e-08,9.91e+37,89.03125,21508.0,
-6.433500E+01,1.6587549999999998e-08,9.91e+37,90.09082,21508.0,
-6.400000E+01,3.375886e-08,9.91e+37,91.14941,21508.0,
-6.366500E+01,4.6384840000000003e-08,9.91e+37,92.20703,21508.0,
-6.333500E+01,5.4970499999999996e-08,9.91e+37,93.26366999999999,21508.0,
-6.300000E+01,7.820231e-08,9.91e+37,94.32226999999999,21508.0,
-6.266500E+01,1.1204e-07,9.91e+37,95.38280999999999,21508.0,
-6.233500E+01,1.1961550000000002e-07,9.91e+37,96.44434,21508.0,
-6.200000E+01,1.443625e-07,9.91e+37,97.52539,21508.0,
-6.166500E+01,1.544632e-07,9.91e+37,98.58398000000001,21508.0,
-6.133500E+01,1.665842e-07,9.91e+37,99.64258000000001,21508.0,
-6.100000E+01,1.842605e-07,9.91e+37,100.7061,21508.0,
-6.066500E+01,1.958765e-07,9.91e+37,101.7686,21508.0,
-6.033500E+01,2.16583e-07,9.91e+37,102.8281,21508.0,
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec),,,,,
0.969250	344.492687	0.001000,,,,,
0.962435	345.009112	0.101000,,,,,
0.960734	345.139071	0.201000,,,,,
0.963162	344.988800	0.301000,,,,,
0.969339	344.501386	0.401000,,,,,
0.970356	344.440088	0.501000,,,,,
0.967586	344.641992	0.602000,,,,,
0.963170	344.900428	0.701000,,,,,
0.961272	345.049929	0.801000,,,,,
0.964424	344.875078	0.901000,,,,,
0.969366	344.529791	1.002000,,,,,
0.970388	344.454345	1.101000,,,,,
0.966973	344.721522	1.201000,,,,,
0.960683	345.113697	1.302000,,,,,
0.960586	345.097429	1.401000,,,,,
0.964988	344.799913	1.501000,,,,,
0.969082	344.488630	1.601000,,,,,
0.970202	344.432704	1.701000,,,,,
0.966008	344.742684	1.801000,,,,,
0.961540	345.055641	1.901000,,,,,
0.961482	345.064454	2.001000,,,,,
0.965387	344.762679	2.101000,,,,,
0.971142	344.339241	2.201000,,,,,
0.969549	344.427944	2.301000,,,,,
0.964795	344.830467	2.401000,,,,,
0.960839	345.131910	2.501000,,,,,
0.961789	345.070679	2.601000,,,,,
0.966706	344.673176	2.701000,,,,,
0.970382	344.464119	2.801000,,,,,
0.969150	344.502136	2.901000,,,,,
0.963515	344.890278	3.001000,,,,,
0.960240	345.123988	3.101000,,,,,
0.961984	344.987580	3.201000,,,,,
0.967686	344.576512	3.301000,,,,,
0.970648	344.426773	3.401000,,,,,
0.968746	344.557446	3.501000,,,,,
0.963688	344.917149	3.601000,,,,,
0.961060	345.111764	3.701000,,,,,
0.962330	344.980962	3.801000,,,,,
0.967652	344.585936	3.902000,,,,,
0.971435	344.287972	4.001000,,,,,
0.968567	344.518161	4.101000,,,,,
0.962957	344.961152	4.201000,,,,,
0.960283	345.182302	4.301000,,,,,
0.962486	345.023557	4.401000,,,,,
0.967617	344.656648	4.501000,,,,,
0.970366	344.467475	4.601000,,,,,
0.967946	344.618359	4.701000,,,,,
0.963921	344.867778	4.801000,,,,,
0.960033	345.160783	4.901000,,,,,
0.964395	344.837667	5.001000,,,,,
0.969515	344.499843	5.101000,,,,,
0.971148	344.369288	5.201000,,,,,
0.967577	344.648660	5.301000,,,,,
0.962537	344.998440	5.401000,,,,,
0.960562	345.105495	5.501000,,,,,
0.963190	344.885402	5.602000,,,,,
0.968667	344.489648	5.701000,,,,,
0.971356	344.297275	5.801000,,,,,
0.967912	344.564049	5.901000,,,,,
0.962769	344.999253	6.001000,,,,,
0.961355	345.037654	6.101000,,,,,
0.964683	344.772595	6.202000,,,,,
0.968674	344.504198	6.301000,,,,,
0.970684	344.385419	6.401000,,,,,
0.967993	344.575304	6.501000,,,,,
0.962871	344.941207	6.601000,,,,,
0.960743	345.126232	6.701000,,,,,
0.963227	344.928601	6.801000,,,,,
0.968651	344.553251	6.901000,,,,,
0.970938	344.365897	7.001000,,,,,
0.967266	344.647126	7.101000,,,,,
0.962126	344.972909	7.201000,,,,,
0.961297	345.011232	7.301000,,,,,
0.964535	344.801774	7.401000,,,,,
0.969033	344.473752	7.501000,,,,,
0.971223	344.317491	7.601000,,,,,
0.967311	344.617320	7.701000,,,,,
0.962214	344.988715	7.801000,,,,,
0.960828	345.059005	7.901000,,,,,
0.965280	344.736902	8.001000,,,,,
0.970032	344.390727	8.102000,,,,,
0.970150	344.371431	8.201000,,,,,
0.965747	344.687049	8.301000,,,,,
0.961785	344.986904	8.401000,,,,,
0.960926	345.079650	8.501000,,,,,
0.965252	344.789523	8.601000,,,,,
0.970265	344.450270	8.701000,,,,,
0.969759	344.442507	8.801000,,,,,
0.965866	344.723114	8.901000,,,,,
0.961806	344.993375	9.001000,,,,,
0.962665	344.892489	9.101000,,,,,
0.966282	344.653329	9.201000,,,,,
0.969706	344.471209	9.301000,,,,,
0.970694	344.396701	9.401000,,,,,
0.965868	344.727966	9.501000,,,,,
0.961433	345.036856	9.601000,,,,,
0.961457	345.027613	9.701000,,,,,
0.965733	344.721683	9.801000,,,,,
0.970555	344.325528	9.901000,,,,,
0.969784	344.388672	10.001000,,,,,
0.965326	344.773399	10.101000,,,,,
0.961731	345.031749	10.201000,,,,,
0.962340	344.982212	10.301000,,,,,
0.967076	344.656476	10.401000,,,,,
0.970661	344.413165	10.501000,,,,,
0.970446	344.372826	10.601000,,,,,
0.964876	344.779589	10.701000,,,,,
0.961056	345.061004	10.801000,,,,,
0.962727	344.933819	10.901000,,,,,
0.967631	344.600369	11.001000,,,,,
0.970847	344.369885	11.102000,,,,,
0.968619	344.563898	11.202000,,,,,
0.964488	344.860153	11.301000,,,,,
0.960528	345.100826	11.401000,,,,,
0.962147	344.969100	11.501000,,,,,
0.967958	344.558045	11.601000,,,,,
0.971149	344.319651	11.701000,,,,,
0.968734	344.532820	11.801000,,,,,
0.964501	344.794590	11.901000,,,,,
0.961546	345.023066	12.001000,,,,,
0.963620	344.905093	12.101000,,,,,
0.968692	344.509265	12.201000,,,,,
0.970891	344.337706	12.301000,,,,,
0.967975	344.554345	12.401000,,,,,
0.962465	344.952776	12.501000,,,,,
0.960200	345.142807	12.601000,,,,,
0.962666	344.977710	12.701000,,,,,
0.969364	344.540105	12.801000,,,,,
0.970539	344.453589	12.901000,,,,,
0.967330	344.606240	13.001000,,,,,
0.962661	344.963157	13.101000,,,,,
0.961410	345.003609	13.201000,,,,,
0.964863	344.745870	13.301000,,,,,
0.970513	344.376754	13.401000,,,,,
0.970883	344.334853	13.501000,,,,,
0.966345	344.709085	13.601000,,,,,
0.961692	345.052642	13.701000,,,,,
0.961846	344.985458	13.801000,,,,,
0.965872	344.720956	13.901000,,,,,
0.970229	344.354945	14.001000,,,,,
0.970179	344.381829	14.101000,,,,,
0.965974	344.754295	14.201000,,,,,
0.961748	345.026045	14.301000,,,,,
0.961456	345.069271	14.401000,,,,,
0.966327	344.729067	14.501000,,,,,
0.970562	344.393373	14.604000,,,,,
0.970671	344.361786	14.702000,,,,,
0.965612	344.730263	14.801000,,,,,
0.962056	344.992241	14.901000,,,,,
0.962666	344.945556	15.002000,,,,,
0.966582	344.625089	15.101000,,,,,
0.970667	344.426588	15.201000,,,,,
0.969801	344.451472	15.301000,,,,,
0.965420	344.786043	15.401000,,,,,
0.960567	345.106920	15.501000,,,,,
0.961998	344.949187	15.602000,,,,,
0.967496	344.579441	15.702000,,,,,
0.971060	344.310527	15.801000,,,,,
0.970101	344.403839	15.901000,,,,,
0.965943	344.704149	16.001000,,,,,
0.961925	345.009358	16.101000,,,,,
0.962860	344.959442	16.202000,,,,,
0.966859	344.668113	16.301000,,,,,
0.971116	344.311373	16.401000,,,,,
0.969590	344.452730	16.501000,,,,,
0.964756	344.761339	16.601000,,,,,
0.960993	345.103716	16.701000,,,,,
0.962707	344.916927	16.801000,,,,,
0.967318	344.691567	16.901000,,,,,
0.970345	344.433760	17.002000,,,,,
0.969668	344.452963	17.101000,,,,,
0.964968	344.801872	17.201000,,,,,
0.961307	345.014689	17.301000,,,,,
0.962547	344.946858	17.401000,,,,,
0.967546	344.506148	17.501000,,,,,
0.971105	344.311127	17.601000,,,,,
0.970030	344.388932	17.701000,,,,,
0.965588	344.718758	17.801000,,,,,
0.961520	345.073174	17.901000,,,,,
0.961857	344.995986	18.001000,,,,,
0.967178	344.589862	18.101000,,,,,
0.970368	344.350460	18.201000,,,,,
0.969818	344.434489	18.301000,,,,,
0.965620	344.666392	18.401000,,,,,
0.961224	345.072593	18.501000,,,,,
0.962458	344.991631	18.601000,,,,,
0.967006	344.706381	18.701000,,,,,
0.970861	344.374066	18.801000,,,,,
0.970322	344.428625	18.901000,,,,,
0.965911	344.730266	19.001000,,,,,
0.961603	345.007685	19.101000,,,,,
0.961087	345.057619	19.201000,,,,,
0.966326	344.681579	19.301000,,,,,
0.970106	344.413452	19.401000,,,,,
0.969672	344.457423	19.501000,,,,,
0.965149	344.801349	19.601000,,,,,
0.961718	345.013787	19.701000,,,,,
0.962319	344.936468	19.801000,,,,,
0.966222	344.648355	19.902000,,,,,
0.970877	344.371832	20.001000,,,,,
0.970429	344.376767	20.101000,,,,,
0.965669	344.721696	20.201000,,,,,
0.961204	345.050057	20.301000,,,,,
0.963123	344.891982	20.401000,,,,,
0.967582	344.586586	20.501000,,,,,
0.970956	344.321906	20.601000,,,,,
0.969608	344.445199	20.701000,,,,,
0.964940	344.758020	20.801000,,,,,
0.960834	345.027481	20.901000,,,,,
0.961811	344.966640	21.001000,,,,,
0.966838	344.643961	21.101000,,,,,
0.970425	344.405499	21.201000,,,,,
0.969283	344.539306	21.301000,,,,,
0.964964	344.823409	21.401000,,,,,
0.961798	345.011062	21.502000,,,,,
0.962632	344.952829	21.601000,,,,,
0.968071	344.501221	21.701000,,,,,
0.971017	344.305367	21.801000,,,,,
0.969903	344.426030	21.901000,,,,,
0.964979	344.812647	22.001000,,,,,
0.960465	345.119959	22.102000,,,,,
0.962722	344.911586	22.201000,,,,,
0.967489	344.586701	22.301000,,,,,
0.970670	344.315825	22.401000,,,,,
0.968865	344.504531	22.502000,,,,,
0.965223	344.760522	22.601000,,,,,
0.961173	345.056373	22.705000,,,,,
0.962076	344.974941	22.801000,,,,,
0.968210	344.548268	22.901000,,,,,
0.971305	344.362127	23.001000,,,,,
0.969827	344.458329	23.101000,,,,,
0.965033	344.755658	23.201000,,,,,
0.961574	345.009881	23.301000,,,,,
0.962791	344.934851	23.401000,,,,,
0.966968	344.614299	23.501000,,,,,
0.971403	344.324278	23.602000,,,,,
0.970145	344.431006	23.701000,,,,,
0.964545	344.816707	23.801000,,,,,
0.960859	345.091932	23.901000,,,,,
0.962006	344.977192	24.002000,,,,,
0.967692	344.533989	24.103000,,,,,
0.970793	344.347535	24.201000,,,,,
0.970154	344.354120	24.301000,,,,,
0.965803	344.672439	24.401000,,,,,
0.961702	344.994787	24.501000,,,,,
0.962131	344.992038	24.601000,,,,,
0.967273	344.633439	24.701000,,,,,
0.971313	344.335671	24.801000,,,,,
0.969269	344.455607	24.901000,,,,,
0.964895	344.749995	25.001000,,,,,
0.961645	344.990723	25.101000,,,,,
0.962192	344.931479	25.201000,,,,,
0.967093	344.605408	25.301000,,,,,
0.971185	344.318233	25.401000,,,,,
0.970639	344.410783	25.501000,,,,,
0.965639	344.788639	25.601000,,,,,
0.961472	345.048525	25.701000,,,,,
0.962956	344.900130	25.801000,,,,,
0.967321	344.547102	25.901000,,,,,
0.970751	344.325111	26.001000,,,,,
0.968891	344.477544	26.101000,,,,,
0.965024	344.730633	26.201000,,,,,
0.961224	345.060719	26.301000,,,,,
0.962200	344.982064	26.401000,,,,,
0.966891	344.644948	26.501000,,,,,
0.970654	344.382233	26.601000,,,,,
0.969681	344.402529	26.701000,,,,,
0.964456	344.796239	26.801000,,,,,
0.961869	344.971543	26.901000,,,,,
0.962939	344.934205	27.001000,,,,,
0.967603	344.619905	27.101000,,,,,
0.971291	344.348616	27.201000,,,,,
0.969480	344.469861	27.305000,,,,,
0.965345	344.749329	27.401000,,,,,
0.960393	345.086810	27.502000,,,,,
0.962510	344.946791	27.601000,,,,,
0.967865	344.567938	27.701000,,,,,
0.970705	344.357600	27.801000,,,,,
0.969136	344.493800	27.901000,,,,,
0.964215	344.821454	28.002000,,,,,
0.961235	345.070300	28.101000,,,,,
0.962883	344.954724	28.201000,,,,,
0.968154	344.507369	28.301000,,,,,
0.971295	344.280514	28.401000,,,,,
0.969238	344.424407	28.501000,,,,,
0.964829	344.749189	28.601000,,,,,
0.961316	344.997726	28.701000,,,,,
0.963583	344.869172	28.801000,,,,,
0.967932	344.575964	28.901000,,,,,
0.971152	344.318469	29.001000,,,,,
0.968535	344.530532	29.101000,,,,,
0.964027	344.853562	29.201000,,,,,
0.961192	344.994280	29.301000,,,,,
0.963739	344.852947	29.401000,,,,,
0.968803	344.495132	29.501000,,,,,
0.971298	344.306595	29.601000,,,,,
0.968504	344.560969	29.702000,,,,,
0.963318	344.866353	29.801000,,,,,
