probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-1.500000E+02,-8.801058e-07,9.91e+37,36.46387,21508.0,
-1.450000E+02,-8.235252e-07,9.91e+37,37.541990000000006,21508.0,
-1.400000E+02,-7.735122e-07,9.91e+37,38.60352,21508.0,
-1.350000E+02,-7.255195000000001e-07,9.91e+37,39.66406,21508.0,
-1.300000E+02,-6.674240000000001e-07,9.91e+37,40.72461,21508.0,
-1.250000E+02,-6.133691e-07,9.91e+37,41.803709999999995,21508.0,
-1.200000E+02,-5.517365e-07,9.91e+37,42.866209999999995,21508.0,
-1.150000E+02,-4.941458e-07,9.91e+37,43.949220000000004,21508.0,
-1.100000E+02,-4.178639e-07,9.91e+37,45.00781,21508.0,
-1.050000E+02,-3.481487e-07,9.91e+37,46.069340000000004,21508.0,
-1.000000E+02,-2.925788e-07,9.91e+37,47.147459999999995,21508.0,
-9.500000E+01,-2.405452e-07,9.91e+37,48.20898,21508.0,
-9.000000E+01,-1.5011779999999998e-07,9.91e+37,49.28613,21508.0,
-8.500000E+01,-3.6957239999999995e-08,9.91e+37,50.34668,21508.0,
-8.000000E+01,3.343168e-07,9.91e+37,51.40625,21508.0,
-7.500000E+01,1.4178200000000001e-06,9.91e+37,52.46484,21508.0,
-7.000000E+01,3.927807e-06,9.91e+37,53.52539,21508.0,
-6.500000E+01,8.505288e-06,9.91e+37,54.584959999999995,21508.0,
-6.000000E+01,1.455977e-05,9.91e+37,55.647459999999995,21508.0,
-5.500000E+01,2.1038539999999998e-05,9.91e+37,56.70508,21508.0,
-5.000000E+01,2.809317e-05,9.91e+37,57.76465,21508.0,
-4.500000E+01,3.6104509999999994e-05,9.91e+37,58.821290000000005,21508.0,
-4.000000E+01,4.538977e-05,9.91e+37,59.907230000000006,21508.0,
-3.500000E+01,5.6460690000000006e-05,9.91e+37,60.9668,21508.0,
-3.000000E+01,7.047544e-05,9.91e+37,62.024409999999996,21508.0,
-2.500000E+01,8.936116e-05,9.91e+37,63.10937,21508.0,
-2.000000E+01,0.0001134695,9.91e+37,64.16895,21508.0,
-1.500000E+01,0.0001446933,9.91e+37,65.22851999999999,21508.0,
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec),,,,,
3.038537	408.505828	0.002000,,,,,
3.044214	408.122335	0.103000,,,,,
3.037073	408.574211	0.202000,,,,,
3.033282	408.852874	0.302000,,,,,
3.038465	408.485738	0.402000,,,,,
3.044011	408.097893	0.502000,,,,,
3.041019	408.327490	0.602000,,,,,
3.034707	408.752481	0.702000,,,,,
3.036124	408.626376	0.802000,,,,,
3.043209	408.082039	0.902000,,,,,
3.043123	408.107428	1.002000,,,,,
3.036491	408.609600	1.102000,,,,,
3.034416	408.794056	1.202000,,,,,
3.041101	408.278308	1.302000,,,,,
3.045101	408.022676	1.402000,,,,,
3.039361	408.395929	1.502000,,,,,
3.034192	408.745897	1.603000,,,,,
3.038571	408.428343	1.702000,,,,,
3.044639	407.975006	1.802000,,,,,
3.042574	408.190330	1.903000,,,,,
3.036057	408.616348	2.002000,,,,,
3.036244	408.588245	2.104000,,,,,
3.043317	408.088391	2.202000,,,,,
3.044801	408.005162	2.302000,,,,,
3.038119	408.500568	2.402000,,,,,
3.034264	408.759545	2.502000,,,,,
3.040450	408.289650	2.602000,,,,,
3.045407	407.894820	2.702000,,,,,
3.041634	408.184630	2.802000,,,,,
3.034929	408.665021	2.902000,,,,,
3.036647	408.582939	3.002000,,,,,
3.044347	408.048364	3.106000,,,,,
3.044205	408.017480	3.202000,,,,,
3.037126	408.532718	3.302000,,,,,
3.034606	408.653204	3.402000,,,,,
3.040930	408.213122	3.502000,,,,,
3.045477	407.915517	3.602000,,,,,
3.040135	408.313110	3.702000,,,,,
3.033972	408.726568	3.802000,,,,,
3.037650	408.456533	3.902000,,,,,
3.044883	407.943960	4.003000,,,,,
3.043589	408.025385	4.102000,,,,,
3.035648	408.613813	4.207000,,,,,
3.035131	408.625429	4.302000,,,,,
3.042892	408.073451	4.402000,,,,,
3.045844	407.829845	4.502000,,,,,
3.039342	408.280184	4.602000,,,,,
3.034284	408.693193	4.702000,,,,,
3.032345	409.452551	4.802000,,,,,
3.023261	411.511647	4.902000,,,,,
3.026361	410.769972	5.002000,,,,,
3.021205	410.931665	5.102000,,,,,
3.023629	410.587622	5.202000,,,,,
3.031823	409.924828	5.302000,,,,,
3.033516	409.818016	5.402000,,,,,
3.026145	410.355627	5.502000,,,,,
3.023063	410.535625	5.602000,,,,,
3.029326	410.063300	5.702000,,,,,
3.034844	409.670384	5.802000,,,,,
3.031357	409.837153	5.902000,,,,,
3.025141	410.267461	6.002000,,,,,
3.027378	410.132008	6.103000,,,,,
3.034157	409.621282	6.202000,,,,,
3.034128	409.598695	6.303000,,,,,
3.027221	410.088815	6.402000,,,,,
3.025047	410.257972	6.502000,,,,,
3.030969	409.847194	6.602000,,,,,
3.035118	409.571614	6.702000,,,,,
3.030119	409.935471	6.802000,,,,,
3.024562	410.297492	6.902000,,,,,
3.029011	409.867025	7.002000,,,,,
3.035670	409.379157	7.102000,,,,,
3.034792	409.442041	7.203000,,,,,
3.027423	409.986181	7.302000,,,,,
3.025737	410.130670	7.402000,,,,,
3.032923	409.603156	7.502000,,,,,
3.036468	409.327569	7.602000,,,,,
3.030953	409.735750	7.702000,,,,,
3.025562	410.112446	7.802000,,,,,
3.029057	409.910059	7.902000,,,,,
3.036176	409.363460	8.002000,,,,,
3.035818	409.260285	8.102000,,,,,
3.028058	409.818220	8.202000,,,,,
3.028182	409.805414	8.302000,,,,,
3.035453	409.291396	8.402000,,,,,
3.037638	409.175341	8.502000,,,,,
3.031234	409.637409	8.602000,,,,,
3.026691	409.988247	8.702000,,,,,
3.032204	409.555854	8.802000,,,,,
3.038095	409.091491	8.902000,,,,,
3.035148	409.317493	9.002000,,,,,
3.028326	409.747877	9.102000,,,,,
3.029695	409.620435	9.202000,,,,,
3.037568	409.064510	9.302000,,,,,
3.038849	408.981966	9.402000,,,,,
3.031322	409.501148	9.502000,,,,,
3.027729	409.784760	9.602000,,,,,
3.034233	409.297393	9.702000,,,,,
3.039403	408.935572	9.802000,,,,,
3.034864	409.256618	9.902000,,,,,
3.027955	409.748608	10.002000,,,,,
3.030714	409.506744	10.102000,,,,,
3.039206	408.788878	10.202000,,,,,
3.038453	408.890717	10.302000,,,,,
3.030987	409.455265	10.403000,,,,,
3.028981	409.571850	10.502000,,,,,
3.036063	409.089531	10.602000,,,,,
3.039932	408.770058	10.702000,,,,,
3.034675	409.149712	10.803000,,,,,
3.029129	409.523904	10.902000,,,,,
3.032196	409.339640	11.002000,,,,,
3.039376	408.821425	11.102000,,,,,
3.038070	408.894786	11.202000,,,,,
3.032612	409.162815	11.302000,,,,,
3.031112	409.286107	11.402000,,,,,
3.038020	408.811727	11.502000,,,,,
3.041026	408.629021	11.602000,,,,,
3.035361	409.060354	11.702000,,,,,
3.030399	409.372644	11.802000,,,,,
3.034111	409.086206	11.902000,,,,,
3.040704	408.588131	12.002000,,,,,
3.039230	408.716385	12.102000,,,,,
3.031788	409.283147	12.213000,,,,,
3.032601	409.160830	12.302000,,,,,
3.039695	408.598512	12.402000,,,,,
3.042280	408.371407	12.502000,,,,,
3.036461	408.807545	12.602000,,,,,
3.031767	409.152239	12.702000,,,,,
3.036476	408.806437	12.802000,,,,,
3.042434	408.395674	12.902000,,,,,
3.039240	408.638867	13.002000,,,,,
3.032435	409.131016	13.102000,,,,,
