probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-4.000000E+01,-3.7082229999999996e-07,9.91e+37,3132.945,21508.0,
-3.950000E+01,-3.5011319999999996e-07,9.91e+37,3134.007,21508.0,
-3.900000E+01,-3.379911e-07,9.91e+37,3135.0879999999997,21508.0,
-3.850000E+01,-3.2334270000000004e-07,9.91e+37,3136.1490000000003,21508.0,
-3.800000E+01,-3.0061350000000003e-07,9.91e+37,3137.21,21508.0,
-3.750000E+01,-2.8091449999999996e-07,9.91e+37,3138.29,21508.0,
-3.700000E+01,-2.6778190000000004e-07,9.91e+37,3139.3520000000003,21508.0,
-3.650000E+01,-2.455575e-07,9.91e+37,3140.4320000000002,21508.0,
-3.600000E+01,-2.278789e-07,9.91e+37,3141.489,21508.0,
-3.550000E+01,-2.091902e-07,9.91e+37,3142.5490000000004,21508.0,
-3.500000E+01,-1.87471e-07,9.91e+37,3143.605,21508.0,
-3.450000E+01,-1.738331e-07,9.91e+37,3144.663,21508.0,
-3.400000E+01,-1.531241e-07,9.91e+37,3145.723,21508.0,
-3.350000E+01,-1.334253e-07,9.91e+37,3146.78,21508.0,
-3.300000E+01,-1.1372639999999999e-07,9.91e+37,3147.837,21508.0,
-3.250000E+01,-9.503769000000001e-08,9.91e+37,3148.8979999999997,21508.0,
-3.200000E+01,-7.18031e-08,9.91e+37,3149.9559999999997,21508.0,
-3.150000E+01,-4.5032769999999996e-08,9.91e+37,3151.018,21508.0,
-3.100000E+01,-2.179817e-08,9.91e+37,3152.077,21508.0,
-3.050000E+01,1.1032299999999999e-08,9.91e+37,3153.136,21508.0,
-3.000000E+01,3.426457e-08,9.91e+37,3154.1940000000004,21508.0,
-2.950000E+01,5.6991699999999995e-08,9.91e+37,3155.2540000000004,21508.0,
-2.900000E+01,8.880979e-08,9.91e+37,3156.3109999999997,21508.0,
-2.850000E+01,1.160825e-07,9.91e+37,3157.369,21508.0,
-2.800000E+01,1.473956e-07,9.91e+37,3158.433,21508.0,
-2.750000E+01,1.670922e-07,9.91e+37,3159.513,21508.0,
-2.700000E+01,1.999206e-07,9.91e+37,3160.57,21508.0,
-2.650000E+01,2.261831e-07,9.91e+37,3161.645,21508.0,
-2.600000E+01,2.453748e-07,9.91e+37,3162.7259999999997,21508.0,
-2.550000E+01,2.6961740000000005e-07,9.91e+37,3163.7870000000003,21508.0,
-2.500000E+01,2.827482e-07,9.91e+37,3164.843,21508.0,
-2.450000E+01,3.1507190000000004e-07,9.91e+37,3165.903,21508.0,
-2.400000E+01,3.352735e-07,9.91e+37,3166.962,21508.0,
-2.350000E+01,3.4739449999999995e-07,9.91e+37,3168.0409999999997,21508.0,
-2.300000E+01,3.776977e-07,9.91e+37,3169.1020000000003,21508.0,
-2.250000E+01,4.0951590000000003e-07,9.91e+37,3170.188,21508.0,
-2.200000E+01,4.292123e-07,9.91e+37,3171.2709999999997,21508.0,
-2.150000E+01,4.5446529999999996e-07,9.91e+37,3172.3259999999996,21508.0,
-2.100000E+01,4.837579999999999e-07,9.91e+37,3173.386,21508.0,
-2.050000E+01,5.140609e-07,9.91e+37,3174.448,21508.0,
-2.000000E+01,5.499193e-07,9.91e+37,3175.507,21508.0,
-1.950000E+01,5.832534e-07,9.91e+37,3176.5679999999998,21508.0,
-1.900000E+01,6.211313e-07,9.91e+37,3177.6259999999997,21508.0,
-1.850000E+01,6.70121e-07,9.91e+37,3178.705,21508.0,
-1.800000E+01,7.160804000000001e-07,9.91e+37,3179.764,21508.0,
-1.750000E+01,7.605252e-07,9.91e+37,3180.84,21508.0,
-1.700000E+01,7.98908e-07,9.91e+37,3181.8990000000003,21508.0,
-1.650000E+01,8.569889999999999e-07,9.91e+37,3182.961,21508.0,
-1.600000E+01,9.120402e-07,9.91e+37,3184.046,21508.0,
-1.550000E+01,9.665839e-07,9.91e+37,3185.1059999999998,21508.0,
-1.500000E+01,1.020624e-06,9.91e+37,3186.187,21508.0,
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec),,,,,
0.978098	535.332712	0.001000,,,,,
0.982437	534.922505	0.101000,,,,,
0.982925	535.026545	0.201000,,,,,
0.979192	535.279942	0.301000,,,,,
0.975604	535.475507	0.402000,,,,,
0.976136	535.486664	0.501000,,,,,
0.978424	535.337119	0.601000,,,,,
0.981498	535.076445	0.701000,,,,,
0.983622	534.892272	0.801000,,,,,
0.981598	535.037500	0.901000,,,,,
0.976961	535.315270	1.001000,,,,,
0.974746	535.596856	1.101000,,,,,
0.976758	535.421691	1.201000,,,,,
0.980468	535.141450	1.301000,,,,,
0.982920	535.068118	1.401000,,,,,
0.981911	535.108425	1.506000,,,,,
0.978660	535.204818	1.601000,,,,,
0.975685	535.492856	1.701000,,,,,
0.975683	535.488264	1.801000,,,,,
0.979355	535.132132	1.902000,,,,,
0.983120	534.959916	2.001000,,,,,
0.982958	535.023902	2.101000,,,,,
0.980238	535.178485	2.201000,,,,,
0.977062	535.445330	2.301000,,,,,
0.975181	535.550894	2.402000,,,,,
0.976785	535.365708	2.501000,,,,,
0.981240	535.151865	2.601000,,,,,
0.983625	534.935841	2.701000,,,,,
0.981525	535.044492	2.801000,,,,,
0.977893	535.352104	2.901000,,,,,
0.975755	535.550559	3.001000,,,,,
0.976160	535.402320	3.101000,,,,,
0.979810	535.301291	3.201000,,,,,
0.983138	534.979937	3.301000,,,,,
0.982925	534.937165	3.401000,,,,,
0.979293	535.282713	3.501000,,,,,
0.975512	535.529662	3.601000,,,,,
0.975430	535.459158	3.701000,,,,,
0.978043	535.336994	3.801000,,,,,
0.981194	535.099754	3.901000,,,,,
0.983189	534.904664	4.001000,,,,,
0.981869	535.100850	4.101000,,,,,
0.977397	535.435531	4.201000,,,,,
0.975099	535.537806	4.301000,,,,,
0.976892	535.380377	4.401000,,,,,
0.980453	535.144159	4.501000,,,,,
0.982661	534.927566	4.601000,,,,,
0.982489	534.989014	4.701000,,,,,
0.978897	535.308521	4.801000,,,,,
0.975115	535.551618	4.901000,,,,,
0.975264	535.600982	5.001000,,,,,
0.978813	535.302174	5.101000,,,,,
0.982154	535.044291	5.201000,,,,,
0.982681	535.072342	5.301000,,,,,
0.980792	535.150064	5.401000,,,,,
0.977296	535.373506	5.501000,,,,,
0.975455	535.501623	5.601000,,,,,
0.977063	535.436908	5.701000,,,,,
0.980602	535.167862	5.801000,,,,,
0.983688	535.009625	5.902000,,,,,
0.982094	535.118777	6.002000,,,,,
0.978258	535.365176	6.101000,,,,,
0.975467	535.520273	6.201000,,,,,
0.975733	535.555173	6.301000,,,,,
0.978707	535.258523	6.401000,,,,,
0.982879	534.993727	6.501000,,,,,
0.983618	534.970152	6.601000,,,,,
0.979885	535.156433	6.701000,,,,,
0.976465	535.508343	6.801000,,,,,
0.975937	535.527300	6.901000,,,,,
0.977833	535.335411	7.001000,,,,,
0.981256	535.136532	7.101000,,,,,
0.983042	535.007843	7.201000,,,,,
0.981246	535.083996	7.301000,,,,,
0.977440	535.374937	7.401000,,,,,
0.974783	535.608561	7.501000,,,,,
0.976528	535.401723	7.601000,,,,,
0.980369	535.220572	7.701000,,,,,
0.982854	535.014068	7.802000,,,,,
0.982561	535.007117	7.901000,,,,,
0.979604	535.232526	8.001000,,,,,
0.976106	535.413522	8.101000,,,,,
0.975109	535.503921	8.201000,,,,,
0.978883	535.264456	8.301000,,,,,
0.982316	535.021703	8.401000,,,,,
0.982327	534.999700	8.501000,,,,,
0.980348	535.292831	8.601000,,,,,
0.977010	535.506845	8.701000,,,,,
0.974965	535.570815	8.801000,,,,,
0.976769	535.503275	8.901000,,,,,
0.981008	535.172337	9.001000,,,,,
0.983102	534.948933	9.101000,,,,,
0.981835	535.072835	9.202000,,,,,
0.977983	535.345239	9.301000,,,,,
0.975788	535.422976	9.401000,,,,,
0.975804	535.592432	9.501000,,,,,
0.979422	535.293102	9.601000,,,,,
0.983265	534.982164	9.701000,,,,,
0.982786	535.002935	9.801000,,,,,
0.979067	535.298574	9.901000,,,,,
0.975278	535.466861	10.001000,,,,,
0.975651	535.526738	10.101000,,,,,
0.978743	535.266052	10.201000,,,,,
0.981844	535.058363	10.301000,,,,,
0.983213	535.016462	10.401000,,,,,
0.981069	535.216286	10.501000,,,,,
0.976754	535.414710	10.601000,,,,,
0.975393	535.622183	10.702000,,,,,
0.977510	535.421774	10.801000,,,,,
0.981069	535.070830	10.901000,,,,,
0.982768	535.070830	11.001000,,,,,
0.981664	535.128769	11.101000,,,,,
0.977924	535.287924	11.201000,,,,,
0.975121	535.661781	11.301000,,,,,
0.975785	535.514204	11.401000,,,,,
0.980055	535.201916	11.501000,,,,,
0.983519	535.000866	11.601000,,,,,
0.982405	535.082848	11.701000,,,,,
0.978518	535.269818	11.801000,,,,,
0.975908	535.524784	11.901000,,,,,
0.975644	535.498482	12.001000,,,,,
0.978628	535.258931	12.101000,,,,,
0.982614	535.043526	12.202000,,,,,
0.983143	535.021381	12.301000,,,,,
0.979264	535.274564	12.401000,,,,,
0.976218	535.432225	12.501000,,,,,
0.975361	535.518030	12.601000,,,,,
0.977386	535.340997	12.701000,,,,,
0.981192	535.094509	12.801000,,,,,
0.983727	534.957733	12.901000,,,,,
0.981520	535.020511	13.001000,,,,,
0.977180	535.424045	13.101000,,,,,
0.974994	535.636212	13.201000,,,,,
0.976299	535.529651	13.301000,,,,,
0.980300	535.111006	13.401000,,,,,
0.982729	535.033828	13.501000,,,,,
0.981847	535.053424	13.602000,,,,,
0.978698	535.278037	13.701000,,,,,
0.975067	535.557734	13.801000,,,,,
0.974937	535.612221	13.901000,,,,,
0.979144	535.352118	14.001000,,,,,
0.982587	535.085712	14.101000,,,,,
0.982548	535.011066	14.201000,,,,,
0.980381	535.247456	14.301000,,,,,
0.977075	535.498782	14.406000,,,,,
0.974883	535.553093	14.501000,,,,,
0.976586	535.511900	14.601000,,,,,
0.980862	535.105870	14.701000,,,,,
0.983123	534.978948	14.801000,,,,,
0.981105	535.199535	14.901000,,,,,
0.977505	535.492059	15.001000,,,,,
0.975166	535.517852	15.101000,,,,,
0.976110	535.516880	15.201000,,,,,
0.979151	535.258202	15.301000,,,,,
0.983041	534.967221	15.401000,,,,,
0.982775	534.994074	15.506000,,,,,
0.978664	535.243330	15.601000,,,,,
0.975245	535.533968	15.701000,,,,,
0.975403	535.612935	15.801000,,,,,
0.978103	535.321649	15.901000,,,,,
0.981123	535.083244	16.001000,,,,,
0.982715	535.198883	16.101000,,,,,
0.980803	535.267688	16.201000,,,,,
0.976261	535.536334	16.301000,,,,,
0.974886	535.577964	16.401000,,,,,
0.977305	535.425116	16.501000,,,,,
0.980876	535.092287	16.601000,,,,,
0.982831	535.146634	16.701000,,,,,
0.982020	535.068267	16.801000,,,,,
0.978156	535.317921	16.901000,,,,,
0.974894	535.614001	17.002000,,,,,
0.975242	535.655775	17.101000,,,,,
0.979435	535.188207	17.201000,,,,,
0.982738	535.010400	17.301000,,,,,
0.982011	534.998624	17.401000,,,,,
0.978457	535.248713	17.501000,,,,,
0.976112	535.582138	17.601000,,,,,
0.975478	535.524322	17.701000,,,,,
0.977762	535.318500	17.801000,,,,,
0.981805	535.194068	17.901000,,,,,
0.983104	534.973562	18.001000,,,,,
0.980171	535.139307	18.101000,,,,,
0.976676	535.460244	18.201000,,,,,
0.975321	535.573085	18.301000,,,,,
0.976369	535.432024	18.401000,,,,,
0.979990	535.218767	18.501000,,,,,
0.982985	534.961238	18.601000,,,,,
0.981943	535.114947	18.701000,,,,,
0.977608	535.461262	18.801000,,,,,
0.974855	535.718426	18.901000,,,,,
0.975839	535.463153	19.001000,,,,,
0.979170	535.285452	19.101000,,,,,
0.982006	535.057998	19.201000,,,,,
0.982696	535.052047	19.301000,,,,,
0.980224	535.283091	19.401000,,,,,
0.976428	535.417334	19.501000,,,,,
0.974651	535.704516	19.601000,,,,,
0.977115	535.485020	19.701000,,,,,
0.980696	535.232077	19.801000,,,,,
0.982065	535.124184	19.901000,,,,,
0.981721	535.162894	20.001000,,,,,
0.978014	535.375952	20.101000,,,,,
0.974793	535.426742	20.202000,,,,,
0.975647	535.607394	20.301000,,,,,
0.979756	535.237152	20.401000,,,,,
0.982809	535.007390	20.501000,,,,,
0.982293	535.156552	20.601000,,,,,
0.979258	535.335144	20.701000,,,,,
0.975961	535.415748	20.801000,,,,,
0.975051	535.673921	20.901000,,,,,
0.977696	535.389289	21.001000,,,,,
0.981304	535.131340	21.101000,,,,,
0.982868	535.024797	21.201000,,,,,
0.980075	535.333076	21.301000,,,,,
0.976619	535.414405	21.401000,,,,,
0.975454	535.728323	21.501000,,,,,
0.976467	535.558465	21.601000,,,,,
0.979664	535.296367	21.701000,,,,,
0.983113	535.015364	21.801000,,,,,
0.982006	535.167368	21.901000,,,,,
0.977412	535.299155	22.001000,,,,,
0.974656	535.653594	22.101000,,,,,
0.975591	535.613283	22.201000,,,,,
0.978477	535.327682	22.301000,,,,,
0.981909	535.109937	22.401000,,,,,
0.982449	535.073090	22.501000,,,,,
0.979640	535.282530	22.601000,,,,,
0.975739	535.603468	22.702000,,,,,
0.975301	535.622431	22.801000,,,,,
0.977742	535.329616	22.901000,,,,,
0.980911	535.248251	23.001000,,,,,
0.982355	535.123182	23.101000,,,,,
0.980762	535.107582	23.201000,,,,,
0.977399	535.443864	23.301000,,,,,
0.974431	535.705179	23.401000,,,,,
0.975626	535.564606	23.502000,,,,,
0.979915	535.204165	23.602000,,,,,
0.982592	535.218427	23.701000,,,,,
0.981231	535.166506	23.802000,,,,,
0.978533	535.463242	23.901000,,,,,
0.975395	535.677794	24.001000,,,,,
0.975078	535.540635	24.101000,,,,,
0.978467	535.417358	24.201000,,,,,
0.982499	535.052143	24.301000,,,,,
0.982045	535.168680	24.401000,,,,,
0.979204	535.325875	24.501000,,,,,
0.976196	535.610437	24.601000,,,,,
0.974965	535.666528	24.701000,,,,,
0.976746	535.413827	24.802000,,,,,
0.980116	535.224442	24.901000,,,,,
0.982439	535.081297	25.001000,,,,,
0.981041	535.311856	25.101000,,,,,
0.977112	535.463843	25.201000,,,,,
0.974903	535.685116	25.301000,,,,,
0.976110	535.603936	25.401000,,,,,
0.979332	535.414229	25.501000,,,,,
0.982057	534.993691	25.601000,,,,,
0.982447	535.080020	25.701000,,,,,
0.978494	535.261495	25.801000,,,,,
0.974549	535.782607	25.901000,,,,,
0.974808	535.591654	26.001000,,,,,
0.978116	535.440809	26.101000,,,,,
0.981099	535.095105	26.201000,,,,,
0.982230	535.027922	26.301000,,,,,
0.979986	535.233563	26.401000,,,,,
0.976976	535.415276	26.501000,,,,,
0.974939	535.675692	26.601000,,,,,
0.976647	535.502170	26.701000,,,,,
0.980337	535.266976	26.801000,,,,,
0.982663	535.150447	26.902000,,,,,
0.981062	535.263534	27.001000,,,,,
0.977287	535.455524	27.101000,,,,,
0.974851	535.737500	27.201000,,,,,
0.974940	535.662173	27.301000,,,,,
0.978476	535.354895	27.401000,,,,,
0.982725	535.109652	27.501000,,,,,
0.982147	535.127808	27.602000,,,,,
0.978324	535.321956	27.701000,,,,,
0.975632	535.681742	27.801000,,,,,
0.975476	535.731663	27.901000,,,,,
0.977952	535.395359	28.001000,,,,,
0.981451	535.203582	28.101000,,,,,
0.982720	535.130778	28.201000,,,,,
0.979856	535.231810	28.301000,,,,,
0.975940	535.670028	28.401000,,,,,
0.974542	535.670372	28.501000,,,,,
0.976714	535.407491	28.601000,,,,,
0.980258	535.293033	28.701000,,,,,
0.982217	535.246720	28.801000,,,,,
0.981232	535.084445	28.901000,,,,,
0.977879	535.500998	29.001000,,,,,
0.974317	535.708073	29.101000,,,,,
0.975673	535.506935	29.201000,,,,,
0.979980	535.272590	29.301000,,,,,
0.982284	535.276864	29.401000,,,,,
0.981390	535.196368	29.501000,,,,,
0.978531	535.316139	29.601000,,,,,
0.974735	535.669134	29.701000,,,,,
0.974424	535.660198	29.801000,,,,,
0.978054	535.564531	29.901000,,,,,
0.981854	535.230798	30.001000,,,,,
0.982217	534.987900	30.101000,,,,,
0.979821	535.386977	30.201000,,,,,
0.976384	535.648514	30.301000,,,,,
0.974661	535.776590	30.402000,,,,,
0.976385	535.648092	30.501000,,,,,
0.980350	535.311805	30.601000,,,,,
0.982723	535.072855	30.701000,,,,,
0.980879	535.174004	30.801000,,,,,
0.976502	535.561527	30.901000,,,,,
0.974067	535.733856	31.001000,,,,,
0.975859	535.593091	31.101000,,,,,
0.979143	535.390536	31.201000,,,,,
0.982060	535.171334	31.301000,,,,,
0.982038	535.164532	31.401000,,,,,
0.978309	535.501079	31.501000,,,,,
0.974602	535.744397	31.601000,,,,,
0.975192	535.647502	31.701000,,,,,
0.978268	535.451821	31.801000,,,,,
0.980968	535.165486	31.901000,,,,,
0.981655	535.173549	32.001000,,,,,
0.979547	535.350329	32.101000,,,,,
0.975690	535.607511	32.201000,,,,,
0.974104	535.747807	32.301000,,,,,
0.976892	535.632421	32.401000,,,,,
0.980742	535.329969	32.501000,,,,,
0.982466	535.205010	32.601000,,,,,
0.980486	535.297305	32.701000,,,,,
0.976482	535.465257	32.801000,,,,,
0.974559	535.686048	32.901000,,,,,
0.975865	535.596240	33.001000,,,,,
0.979456	535.325602	33.101000,,,,,
0.982660	535.161781	33.201000,,,,,
0.980999	535.254087	33.301000,,,,,
0.976973	535.452954	33.401000,,,,,
0.974791	535.614282	33.501000,,,,,
0.975219	535.684069	33.601000,,,,,
0.977751	535.495023	33.701000,,,,,
0.981301	535.374873	33.801000,,,,,
0.982534	535.235075	33.901000,,,,,
0.978848	535.395734	34.001000,,,,,
0.975335	535.766581	34.101000,,,,,
0.974830	535.753063	34.201000,,,,,
0.977255	535.460900	34.301000,,,,,
0.981017	535.393777	34.401000,,,,,
0.982112	535.229458	34.501000,,,,,
0.980040	535.285521	34.601000,,,,,
0.975850	535.573132	34.701000,,,,,
0.973878	535.716380	34.801000,,,,,
0.975695	535.596665	34.901000,,,,,
0.980236	535.280631	35.001000,,,,,
0.982341	535.214287	35.101000,,,,,
0.980480	535.185928	35.201000,,,,,
0.977585	535.651884	35.301000,,,,,
0.974858	535.679410	35.401000,,,,,
0.974865	535.629887	35.501000,,,,,
0.978613	535.590922	35.601000,,,,,
0.981921	535.249756	35.701000,,,,,
0.981499	535.088798	35.801000,,,,,
0.978194	535.422538	35.901000,,,,,
0.975337	535.716787	36.001000,,,,,
0.974108	535.760260	36.101000,,,,,
0.976717	535.589222	36.201000,,,,,
0.980756	535.290098	36.301000,,,,,
0.982589	534.961016	36.401000,,,,,
0.980537	535.252286	36.501000,,,,,
0.975836	535.511980	36.601000,,,,,
0.974091	535.633551	36.701000,,,,,
0.976211	535.588025	36.803000,,,,,
