probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-1.500000E+02,-5.041861000000001e-07,9.91e+37,1888.979,21508.0,
-1.450000E+02,-4.5064320000000003e-07,9.91e+37,1890.04,21508.0,
-1.400000E+02,-3.991216e-07,9.91e+37,1891.125,21508.0,
-1.350000E+02,-3.5366109999999997e-07,9.91e+37,1892.185,21508.0,
-1.300000E+02,-3.1072609999999996e-07,9.91e+37,1893.263,21508.0,
-1.250000E+02,-2.63245e-07,9.91e+37,1894.319,21508.0,
-1.200000E+02,-2.157641e-07,9.91e+37,1895.378,21508.0,
-1.150000E+02,-1.7788019999999999e-07,9.91e+37,1896.4370000000001,21508.0,
-1.100000E+02,-1.283787e-07,9.91e+37,1897.515,21508.0,
-1.050000E+02,-6.624928999999999e-08,9.91e+37,1898.5720000000001,21508.0,
-1.000000E+02,2.2649159999999998e-08,9.91e+37,1899.6329999999998,21508.0,
-9.500000E+01,3.297293e-07,9.91e+37,1900.691,21508.0,
-9.000000E+01,1.241879e-06,9.91e+37,1901.749,21508.0,
-8.500000E+01,3.111634e-06,9.91e+37,1902.809,21508.0,
-8.000000E+01,6.051119999999999e-06,9.91e+37,1903.8670000000002,21508.0,
-7.500000E+01,1.0274980000000001e-05,9.91e+37,1904.925,21508.0,
-7.000000E+01,1.561454e-05,9.91e+37,1905.983,21508.0,
-6.500000E+01,2.178342e-05,9.91e+37,1907.0420000000001,21508.0,
-6.000000E+01,2.918163e-05,9.91e+37,1908.101,21508.0,
-5.500000E+01,3.8524349999999996e-05,9.91e+37,1909.16,21508.0,
-5.000000E+01,5.08045e-05,9.91e+37,1910.2220000000002,21508.0,
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec),,,,,
3.767003	386.453928	0.002000,,,,,
3.748215	390.118027	0.102000,,,,,
3.747579	390.553812	0.204000,,,,,
3.744502	390.598421	0.302000,,,,,
3.738905	390.913111	0.402000,,,,,
3.742954	390.549933	0.502000,,,,,
3.749652	390.042682	0.602000,,,,,
3.749012	390.051570	0.702000,,,,,
3.743575	390.418853	0.802000,,,,,
3.742310	390.479308	0.902000,,,,,
3.749600	389.960126	1.002000,,,,,
3.750380	389.916942	1.102000,,,,,
3.745291	390.236065	1.202000,,,,,
3.742709	390.391008	1.303000,,,,,
3.748019	389.970818	1.402000,,,,,
3.752727	389.613603	1.502000,,,,,
3.748099	389.988626	1.605000,,,,,
3.740640	390.539637	1.702000,,,,,
3.745558	390.170293	1.802000,,,,,
3.753374	389.615727	1.902000,,,,,
3.750406	389.809973	2.002000,,,,,
3.740767	390.501223	2.102000,,,,,
3.744181	390.211281	2.202000,,,,,
3.751427	389.647728	2.302000,,,,,
3.752354	389.601771	2.402000,,,,,
3.745804	390.080454	2.502000,,,,,
3.742878	390.283284	2.602000,,,,,
3.749166	389.812846	2.702000,,,,,
3.752362	389.573998	2.802000,,,,,
3.748725	389.893289	2.902000,,,,,
3.742788	390.324083	3.002000,,,,,
3.747124	389.982687	3.102000,,,,,
3.750851	389.683087	3.202000,,,,,
3.752609	389.488448	3.302000,,,,,
3.744926	390.033551	3.402000,,,,,
3.744586	390.078729	3.502000,,,,,
3.752036	389.566181	3.602000,,,,,
3.753312	389.474141	3.702000,,,,,
3.746561	389.949563	3.802000,,,,,
3.743441	390.159631	3.902000,,,,,
3.748251	389.809278	4.002000,,,,,
3.755904	389.266208	4.102000,,,,,
3.750827	389.632725	4.202000,,,,,
3.743802	390.169994	4.302000,,,,,
3.749239	389.675988	4.402000,,,,,
3.755760	389.196309	4.502000,,,,,
3.752721	389.423921	4.602000,,,,,
3.746310	389.924478	4.702000,,,,,
3.746932	389.893467	4.802000,,,,,
3.752985	389.413384	4.903000,,,,,
3.753508	389.372142	5.002000,,,,,
3.747910	389.761480	5.102000,,,,,
3.745081	389.956293	5.202000,,,,,
3.751253	389.549204	5.302000,,,,,
3.755347	389.272340	5.402000,,,,,
3.750994	389.508309	5.502000,,,,,
3.746362	389.805570	5.602000,,,,,
3.749764	389.533819	5.702000,,,,,
3.756301	389.096309	5.802000,,,,,
3.753955	389.277418	5.902000,,,,,
3.746383	389.835864	6.002000,,,,,
3.746486	389.833623	6.102000,,,,,
3.753198	389.316296	6.202000,,,,,
3.755670	389.151174	6.302000,,,,,
3.748178	389.716251	6.402000,,,,,
3.746357	389.791942	6.502000,,,,,
3.754779	389.143453	6.602000,,,,,
3.756770	389.008531	6.703000,,,,,
3.752067	389.312321	6.802000,,,,,
3.745690	389.791907	6.902000,,,,,
3.747975	389.648144	7.002000,,,,,
3.756588	389.058577	7.102000,,,,,
3.755004	389.172942	7.202000,,,,,
3.747413	389.719919	7.302000,,,,,
3.746497	389.768347	7.402000,,,,,
3.756362	389.036450	7.502000,,,,,
3.758112	388.843966	7.602000,,,,,
3.749371	389.491206	7.702000,,,,,
3.746947	389.688355	7.802000,,,,,
3.754952	389.096067	7.903000,,,,,
3.756997	388.959325	8.002000,,,,,
3.751780	389.338305	8.102000,,,,,
3.746894	389.701653	8.202000,,,,,
3.750326	389.432476	8.303000,,,,,
3.757807	388.907275	8.402000,,,,,
3.754474	389.138725	8.502000,,,,,
3.745541	389.778384	8.602000,,,,,
3.749577	389.433387	8.702000,,,,,
3.756237	388.960514	8.802000,,,,,
3.757520	388.899442	8.903000,,,,,
3.749985	389.481819	9.002000,,,,,
3.746944	389.676902	9.102000,,,,,
3.755924	388.993025	9.202000,,,,,
3.758033	388.804687	9.302000,,,,,
3.751932	389.260789	9.402000,,,,,
3.746364	389.700494	9.502000,,,,,
3.753278	389.211860	9.602000,,,,,
3.759248	388.777642	9.702000,,,,,
3.754360	389.108298	9.802000,,,,,
3.746673	389.655521	9.902000,,,,,
3.750675	389.359869	10.002000,,,,,
3.758746	388.794076	10.102000,,,,,
3.755044	389.072344	10.202000,,,,,
3.748003	389.552536	10.302000,,,,,
3.749410	389.421157	10.402000,,,,,
3.757847	388.811084	10.502000,,,,,
3.757097	388.888394	10.602000,,,,,
3.749480	389.447911	10.702000,,,,,
3.747472	389.618160	10.802000,,,,,
3.755386	389.019132	10.902000,,,,,
3.760312	388.606004	11.002000,,,,,
3.751797	389.229885	11.102000,,,,,
3.745941	389.658856	11.202000,,,,,
3.752782	389.192841	11.302000,,,,,
3.758210	388.815032	11.402000,,,,,
3.753002	389.188403	11.502000,,,,,
3.748160	389.507536	11.602000,,,,,
3.750947	389.293725	11.702000,,,,,
3.758402	388.771114	11.802000,,,,,
3.754728	389.040015	11.902000,,,,,
3.747939	389.535950	12.002000,,,,,
3.750221	389.360701	12.102000,,,,,
3.757803	388.787933	12.202000,,,,,
3.758093	388.774637	12.302000,,,,,
3.749782	389.416225	12.402000,,,,,
3.748351	389.523583	12.502000,,,,,
3.755027	389.026501	12.602000,,,,,
3.758181	388.788044	12.702000,,,,,
3.752041	389.197138	12.802000,,,,,
3.748010	389.481340	12.902000,,,,,
3.754405	389.005408	13.002000,,,,,
3.759004	388.714752	13.102000,,,,,
3.755248	388.987259	13.202000,,,,,
3.747737	389.555536	13.302000,,,,,
3.752081	389.167242	13.402000,,,,,
3.759863	388.605172	13.502000,,,,,
3.757038	388.842817	13.602000,,,,,
3.750126	389.349637	13.702000,,,,,
3.749378	389.406022	13.802000,,,,,
3.756648	388.839106	13.902000,,,,,
3.758885	388.669857	14.002000,,,,,
3.751626	389.214681	14.102000,,,,,
3.748168	389.478441	14.202000,,,,,
3.754956	388.979699	14.302000,,,,,
3.759916	388.608334	14.402000,,,,,
3.754293	388.991250	14.502000,,,,,
3.747677	389.467145	14.602000,,,,,
3.752896	389.079425	14.702000,,,,,
3.759845	388.614961	14.802000,,,,,
3.756968	388.839360	14.902000,,,,,
3.749509	389.407389	15.002000,,,,,
3.750073	389.314520	15.102000,,,,,
3.758409	388.688190	15.202000,,,,,
3.757572	388.767797	15.302000,,,,,
3.751458	389.216106	15.402000,,,,,
3.748523	389.433962	15.502000,,,,,
3.755982	388.865761	15.602000,,,,,
3.759108	388.651547	15.702000,,,,,
3.752458	389.137058	15.802000,,,,,
3.748384	389.430045	15.902000,,,,,
3.754863	388.979085	16.002000,,,,,
3.760454	388.577133	16.102000,,,,,
3.756176	388.858056	16.202000,,,,,
3.748555	389.352146	16.302000,,,,,
3.752042	389.100021	16.402000,,,,,
3.758424	388.675615	16.502000,,,,,
3.758819	388.662358	16.602000,,,,,
3.750486	389.274030	16.702000,,,,,
3.750702	389.272480	16.802000,,,,,
3.757998	388.702245	16.902000,,,,,
3.759421	388.568765	17.002000,,,,,
3.751506	389.171282	17.102000,,,,,
3.750856	389.216198	17.202000,,,,,
3.755734	388.878383	17.302000,,,,,
3.759138	388.598687	17.402000,,,,,
3.754686	388.911933	17.502000,,,,,
3.749105	389.319017	17.602000,,,,,
3.755144	388.884306	17.702000,,,,,
3.760890	388.485462	17.802000,,,,,
3.756986	388.770599	17.902000,,,,,
3.750009	389.269169	18.002000,,,,,
3.752026	389.079779	18.102000,,,,,
3.759844	388.520955	18.202000,,,,,
3.759628	388.552446	18.302000,,,,,
3.751246	389.194906	18.402000,,,,,
3.751060	389.203346	18.502000,,,,,
3.758381	388.632599	18.602000,,,,,
3.760245	388.494714	18.702000,,,,,
3.752332	389.073243	18.802000,,,,,
3.751076	389.183884	18.902000,,,,,
3.756210	388.799634	19.003000,,,,,
3.759598	388.562083	19.103000,,,,,
3.754572	388.933304	19.202000,,,,,
3.750625	389.173538	19.302000,,,,,
3.754409	388.902411	19.402000,,,,,
3.759972	388.505846	19.502000,,,,,
3.757656	388.666709	19.602000,,,,,
3.749791	389.224803	19.702000,,,,,
3.752400	388.998253	19.802000,,,,,
3.761043	388.372319	19.902000,,,,,
3.759451	388.502490	20.002000,,,,,
3.752016	389.072283	20.102000,,,,,
3.750713	389.174011	20.202000,,,,,
3.759221	388.555474	20.302000,,,,,
3.760410	388.359615	20.402000,,,,,
3.752890	388.904198	20.502000,,,,,
3.752089	388.958499	20.602000,,,,,
3.758377	388.533134	20.702000,,,,,
3.762957	388.204043	20.802000,,,,,
3.753863	388.877957	20.902000,,,,,
3.752165	388.954728	21.002000,,,,,
3.756019	388.700310	21.102000,,,,,
3.762395	388.229741	21.202000,,,,,
3.757102	388.630931	21.302000,,,,,
3.751447	389.015917	21.402000,,,,,
3.755514	388.646347	21.502000,,,,,
3.762306	388.128436	21.602000,,,,,
3.760372	388.290197	21.702000,,,,,
3.752471	388.880516	21.802000,,,,,
3.755207	388.668854	21.902000,,,,,
3.762366	388.171107	22.002000,,,,,
3.761905	388.159726	22.102000,,,,,
3.753921	388.719345	22.202000,,,,,
3.753192	388.763105	22.302000,,,,,
3.759987	388.293909	22.402000,,,,,
3.761783	388.198584	22.502000,,,,,
3.756369	388.592756	22.602000,,,,,
3.753128	388.780843	22.702000,,,,,
3.759467	388.293464	22.802000,,,,,
3.763280	388.040413	22.902000,,,,,
3.756715	388.531801	23.002000,,,,,
3.753209	388.782078	23.102000,,,,,
3.757395	388.465085	23.202000,,,,,
3.763450	388.003180	23.302000,,,,,
3.760224	388.238070	23.402000,,,,,
3.753157	388.770975	23.502000,,,,,
3.754557	388.677950	23.602000,,,,,
3.761928	388.161705	23.702000,,,,,
3.760673	388.228122	23.802000,,,,,
3.753939	388.685344	23.902000,,,,,
3.753354	388.710105	24.002000,,,,,
3.760549	388.228721	24.102000,,,,,
3.762752	388.075960	24.202000,,,,,
3.755388	388.644429	24.302000,,,,,
3.752007	388.866974	24.402000,,,,,
3.758998	388.310565	24.502000,,,,,
3.762932	388.018161	24.602000,,,,,
3.757460	388.433009	24.702000,,,,,
3.752251	388.822604	24.802000,,,,,
3.756252	388.542401	24.902000,,,,,
3.762282	388.107166	25.002000,,,,,
3.759415	388.279315	25.102000,,,,,
3.752132	388.834348	25.202000,,,,,
