probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
,-123.0,-2.1654e-06,9.91e+37,6973.196999999999,21508.0
,-122.5,-2.145196e-06,9.91e+37,6974.258000000001,21508.0
,-122.0,-2.13257e-06,9.91e+37,6975.316999999999,21508.0
,-121.5,-2.113881e-06,9.91e+37,6976.38,21508.0
,-121.0,-2.097213e-06,9.91e+37,6977.437,21508.0
,-120.5,-2.083574e-06,9.91e+37,6978.494000000001,21508.0
,-120.0,-2.065392e-06,9.91e+37,6979.579000000001,21508.0
,-119.5,-2.047716e-06,9.91e+37,6980.635,21508.0
,-119.0,-2.030036e-06,9.91e+37,6981.691,21508.0
,-118.5,-2.015893e-06,9.91e+37,6982.751,21508.0
,-118.0,-1.997205e-06,9.91e+37,6983.81,21508.0
,-117.5,-1.9795279999999998e-06,9.91e+37,6984.869000000001,21508.0
,-117.0,-1.965385e-06,9.91e+37,6985.932,21508.0
,-116.5,-1.949222e-06,9.91e+37,6987.009,21508.0
,-116.0,-1.9335640000000003e-06,9.91e+37,6988.068,21508.0
,-115.5,-1.9118450000000002e-06,9.91e+37,6989.132,21508.0
,-115.0,-1.899722e-06,9.91e+37,6990.191999999999,21508.0
,-114.5,-1.8825489999999998e-06,9.91e+37,6991.255999999999,21508.0
,-114.0,-1.865378e-06,9.91e+37,6992.3369999999995,21508.0
,-113.5,-1.848204e-06,9.91e+37,6993.396,21508.0
,-113.0,-1.829515e-06,9.91e+37,6994.475,21508.0
,-112.5,-1.8158779999999999e-06,9.91e+37,6995.534000000001,21508.0
,-112.0,-1.8002199999999999e-06,9.91e+37,6996.595,21508.0
,-111.5,-1.777996e-06,9.91e+37,6997.658,21508.0
,-111.0,-1.76638e-06,9.91e+37,6998.719,21508.0
,-110.5,-1.746178e-06,9.91e+37,6999.778,21508.0
,-110.0,-1.7315270000000002e-06,9.91e+37,7000.8369999999995,21508.0
,-109.5,-1.7082939999999999e-06,9.91e+37,7001.897,21508.0
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec),,,,,
0.984437	342.264286	0.002000,,,,,
0.986011	342.119343	0.102000,,,,,
0.981296	342.470263	0.202000,,,,,
0.976859	342.786018	0.302000,,,,,
0.976897	342.759307	0.402000,,,,,
0.982185	342.398545	0.502000,,,,,
0.986288	342.173186	0.602000,,,,,
0.985016	342.218363	0.702000,,,,,
0.979974	342.594232	0.802000,,,,,
0.977142	342.738586	0.902000,,,,,
0.978955	342.643752	1.002000,,,,,
0.983783	342.296707	1.102000,,,,,
0.987520	342.017830	1.202000,,,,,
0.985179	342.172433	1.302000,,,,,
0.979133	342.675556	1.402000,,,,,
0.976716	342.821780	1.502000,,,,,
0.979313	342.642851	1.602000,,,,,
0.984070	342.293513	1.702000,,,,,
0.986455	342.126870	1.802000,,,,,
0.983190	342.355117	1.902000,,,,,
0.979696	342.588359	2.002000,,,,,
0.975965	342.872458	2.102000,,,,,
0.980120	342.571629	2.202000,,,,,
0.985009	342.222432	2.302000,,,,,
0.986732	342.104901	2.402000,,,,,
0.983418	342.317161	2.502000,,,,,
0.979094	342.650289	2.602000,,,,,
0.977850	342.681339	2.702000,,,,,
0.980789	342.486007	2.802000,,,,,
0.985277	342.191786	2.902000,,,,,
0.985880	342.174377	3.002000,,,,,
0.982581	342.434787	3.102000,,,,,
0.977789	342.734174	3.202000,,,,,
0.976747	342.847456	3.302000,,,,,
0.981401	342.479768	3.402000,,,,,
0.985365	342.161335	3.502000,,,,,
0.985207	342.220884	3.602000,,,,,
0.981273	342.500788	3.702000,,,,,
0.977997	342.710739	3.802000,,,,,
0.978182	342.726604	3.902000,,,,,
0.982623	342.426000	4.002000,,,,,
0.986771	342.071988	4.102000,,,,,
0.986148	342.161441	4.202000,,,,,
0.980743	342.506270	4.302000,,,,,
0.976477	342.851137	4.402000,,,,,
0.977702	342.744137	4.502000,,,,,
0.982777	342.368684	4.602000,,,,,
0.986169	342.117776	4.702000,,,,,
0.984769	342.247121	4.802000,,,,,
0.980711	342.546620	4.902000,,,,,
0.977338	342.757991	5.002000,,,,,
0.978625	342.672529	5.102000,,,,,
0.983707	342.295908	5.202000,,,,,
0.987013	342.074866	5.302000,,,,,
0.985429	342.189413	5.402000,,,,,
0.979824	342.607082	5.502000,,,,,
0.976701	342.860940	5.602000,,,,,
0.978811	342.752676	5.702000,,,,,
0.983135	342.370105	5.802000,,,,,
0.986188	342.134844	5.902000,,,,,
0.983946	342.312621	6.002000,,,,,
0.978374	342.686464	6.103000,,,,,
0.976795	342.818680	6.203000,,,,,
0.979752	342.608374	6.302000,,,,,
0.984832	342.264584	6.402000,,,,,
0.986126	342.127805	6.502000,,,,,
0.983081	342.400701	6.602000,,,,,
0.979021	342.647256	6.702000,,,,,
0.977159	342.768070	6.802000,,,,,
0.980052	342.572875	6.902000,,,,,
0.984998	342.221139	7.002000,,,,,
0.987015	342.091740	7.102000,,,,,
0.982350	342.423677	7.202000,,,,,
0.977778	342.814226	7.302000,,,,,
0.975764	342.920473	7.402000,,,,,
0.980220	342.567749	7.502000,,,,,
0.984614	342.242411	7.602000,,,,,
0.985807	342.155189	7.702000,,,,,
0.983135	342.358088	7.802000,,,,,
0.978734	342.668744	7.902000,,,,,
0.977059	342.804347	8.002000,,,,,
0.980952	342.494699	8.102000,,,,,
0.985608	342.204300	8.202000,,,,,
0.986257	342.127354	8.303000,,,,,
0.981873	342.429816	8.403000,,,,,
0.977645	342.755967	8.502000,,,,,
0.976782	342.789649	8.602000,,,,,
0.980779	342.490670	8.702000,,,,,
0.986077	342.141052	8.802000,,,,,
0.985715	342.197040	8.903000,,,,,
0.981050	342.522528	9.002000,,,,,
0.976648	342.844680	9.102000,,,,,
0.977079	342.819299	9.202000,,,,,
0.981890	342.445681	9.302000,,,,,
0.987159	342.056799	9.402000,,,,,
0.986125	342.132618	9.502000,,,,,
0.981487	342.481137	9.602000,,,,,
0.976976	342.840630	9.702000,,,,,
0.977638	342.829549	9.802000,,,,,
0.982868	342.389380	9.902000,,,,,
0.985663	342.183268	10.002000,,,,,
0.984537	342.239780	10.102000,,,,,
0.979158	342.638232	10.202000,,,,,
0.976264	342.818261	10.302000,,,,,
0.978329	342.685569	10.402000,,,,,
0.983595	342.321090	10.502000,,,,,
0.986814	342.131953	10.602000,,,,,
0.983996	342.325547	10.702000,,,,,
0.980044	342.573569	10.802000,,,,,
0.977134	342.808325	10.902000,,,,,
0.979846	342.589647	11.002000,,,,,
0.984541	342.251907	11.102000,,,,,
0.987155	342.039018	11.202000,,,,,
0.983365	342.391913	11.302000,,,,,
0.977888	342.797298	11.402000,,,,,
0.976155	342.919407	11.502000,,,,,
0.978873	342.707887	11.602000,,,,,
0.983635	342.367162	11.702000,,,,,
0.986262	342.182033	11.802000,,,,,
0.983476	342.339403	11.902000,,,,,
0.978499	342.703530	12.002000,,,,,
0.976465	342.850737	12.106000,,,,,
0.981096	342.522338	12.202000,,,,,
0.985452	342.247889	12.302000,,,,,
0.986549	342.134487	12.402000,,,,,
0.982346	342.404168	12.502000,,,,,
0.978310	342.721835	12.603000,,,,,
0.976293	342.866604	12.702000,,,,,
