probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-1.500000E+02,-3.854651e-07,9.91e+37,9861.457,21508.0,
-1.450000E+02,-3.198032e-07,9.91e+37,9862.516,21508.0,
-1.400000E+02,-2.733345e-07,9.91e+37,9863.574,21508.0,
-1.350000E+02,-2.268659e-07,9.91e+37,9864.634,21508.0,
-1.300000E+02,-1.864583e-07,9.91e+37,9865.692,21508.0,
-1.250000E+02,-1.41e-07,9.91e+37,9866.751,21508.0,
-1.200000E+02,-8.291427000000001e-08,9.91e+37,9867.834,21508.0,
-1.150000E+02,-1.624185e-08,9.91e+37,9868.896,21508.0,
-1.100000E+02,1.7062560000000001e-07,9.91e+37,9869.974,21508.0,
-1.050000E+02,8.630386e-07,9.91e+37,9871.033000000001,21508.0,
-1.000000E+02,2.53978e-06,9.91e+37,9872.112,21508.0,
-9.500000E+01,5.286706e-06,9.91e+37,9873.171999999999,21508.0,
-9.000000E+01,9.169473e-06,9.91e+37,9874.229,21508.0,
-8.500000E+01,1.4081510000000001e-05,9.91e+37,9875.289,21508.0,
-8.000000E+01,1.9732950000000002e-05,9.91e+37,9876.351999999999,21508.0,
-7.500000E+01,2.64899e-05,9.91e+37,9877.41,21508.0,
-7.000000E+01,3.5028670000000004e-05,9.91e+37,9878.468,21508.0,
-6.500000E+01,4.608858e-05,9.91e+37,9879.529,21508.0,
-6.000000E+01,6.106564999999999e-05,9.91e+37,9880.587,21508.0,
-5.500000E+01,8.385516e-05,9.91e+37,9881.645,21508.0,
-5.000000E+01,0.00012518879999999998,9.91e+37,9882.704,21508.0,
-4.500000E+01,0.0002739305,9.91e+37,9883.764000000001,21508.0,
-4.000000E+01,0.0004051632,9.91e+37,9884.822,21508.0,
-3.500000E+01,0.0005799709,9.91e+37,9885.908000000001,21508.0,
-3.000000E+01,0.0008101854,9.91e+37,9886.969000000001,21508.0,
-2.500000E+01,0.001112196,9.91e+37,9888.054,21508.0,
-2.000000E+01,0.0015139910000000001,9.91e+37,9889.115,21508.0,
-1.500000E+01,0.002055576,9.91e+37,9890.175,21508.0,
-1.000000E+01,0.002785175,9.91e+37,9891.237,21508.0,
-5.000000E+00,0.0044766829999999995,9.91e+37,9892.296,21508.0,
+0.000000E+00,0.004510046,9.91e+37,9893.351999999999,21508.0,
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec),,,,,
3.695589	405.199235	0.001000,,,,,
3.661204	410.523028	0.101000,,,,,
3.658335	411.523592	0.201000,,,,,
3.664360	410.822390	0.302000,,,,,
3.661902	410.873621	0.401000,,,,,
3.656746	411.166173	0.501000,,,,,
3.659759	410.831323	0.601000,,,,,
3.667272	410.253266	0.701000,,,,,
