probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-1.500000E+02,-5.652793000000001e-07,9.91e+37,8956.396999999999,21508.0,
-1.450000E+02,-5.056784000000001e-07,9.91e+37,8957.457,21508.0,
-1.400000E+02,-4.5466400000000003e-07,9.91e+37,8958.537,21508.0,
-1.350000E+02,-4.12236e-07,9.91e+37,8959.599,21508.0,
-1.300000E+02,-3.647573e-07,9.91e+37,8960.677,21508.0,
-1.250000E+02,-3.177833e-07,9.91e+37,8961.735999999999,21508.0,
-1.200000E+02,-2.718197e-07,9.91e+37,8962.815,21508.0,
-1.150000E+02,-2.213103e-07,9.91e+37,8963.877,21508.0,
-1.100000E+02,-1.834281e-07,9.91e+37,8964.96,21508.0,
-1.050000E+02,-1.339289e-07,9.91e+37,8966.019,21508.0,
-1.000000E+02,-7.83685e-08,9.91e+37,8967.079,21508.0,
-9.500000E+01,-5.839608e-10,9.91e+37,8968.141,21508.0,
-9.000000E+01,1.953729e-07,9.91e+37,8969.202,21508.0,
-8.500000E+01,9.256652e-07,9.91e+37,8970.261,21508.0,
-8.000000E+01,2.665035e-06,9.91e+37,8971.339,21508.0,
-7.500000E+01,5.545297e-06,9.91e+37,8972.418,21508.0,
-7.000000E+01,9.530598e-06,9.91e+37,8973.479,21508.0,
-6.500000E+01,1.4302750000000001e-05,9.91e+37,8974.537,21508.0,
-6.000000E+01,1.963701e-05,9.91e+37,8975.596,21508.0,
-5.500000E+01,2.5830869999999998e-05,9.91e+37,8976.655,21508.0,
-5.000000E+01,3.327219e-05,9.91e+37,8977.712,21508.0,
-4.500000E+01,4.230639e-05,9.91e+37,8978.791,21508.0,
-4.000000E+01,5.352839e-05,9.91e+37,8979.851,21508.0,
-3.500000E+01,6.822823e-05,9.91e+37,8980.913,21508.0,
-3.000000E+01,8.980116e-05,9.91e+37,8981.996,21508.0,
-2.500000E+01,0.000126035,9.91e+37,8983.058,21508.0,
-2.000000E+01,0.00026454610000000003,9.91e+37,8984.144,21508.0,
-1.500000E+01,0.0004209822,9.91e+37,8985.205,21508.0,
-1.000000E+01,0.0006739408,9.91e+37,8986.264000000001,21508.0,
-5.000000E+00,0.001129894,9.91e+37,8987.322,21508.0,
+0.000000E+00,0.001821452,9.91e+37,8988.382,21508.0,
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec),,,,,
3.210082	383.347910	0.002000,,,,,
3.165296	389.841016	0.102000,,,,,
3.158200	391.211491	0.202000,,,,,
3.166649	390.324083	0.302000,,,,,
3.169328	390.001146	0.402000,,,,,
3.166076	390.122263	0.502000,,,,,
3.162464	390.332339	0.602000,,,,,
3.167651	389.882875	0.702000,,,,,
3.172778	389.479685	0.803000,,,,,
3.171488	389.534205	0.902000,,,,,
3.166366	389.885626	1.002000,,,,,
3.165036	389.979317	1.102000,,,,,
3.171547	389.427668	1.202000,,,,,
3.175775	389.080934	1.302000,,,,,
3.171488	389.375572	1.402000,,,,,
3.165143	389.840874	1.502000,,,,,
3.167588	389.673000	1.602000,,,,,
3.174207	389.215068	1.702000,,,,,
3.174411	389.184926	1.802000,,,,,
3.167874	389.658732	1.902000,,,,,
3.165587	389.778785	2.002000,,,,,
3.170024	389.466297	2.102000,,,,,
3.176206	388.942356	2.202000,,,,,
3.174013	389.071389	2.302000,,,,,
3.167668	389.560535	2.402000,,,,,
3.168335	389.525680	2.502000,,,,,
3.174248	389.091808	2.602000,,,,,
3.177550	388.852295	2.702000,,,,,
3.172493	389.202359	2.802000,,,,,
3.167701	389.545660	2.902000,,,,,
3.169386	389.441813	3.002000,,,,,
3.174815	389.065869	3.102000,,,,,
