probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
0.926785	451.997026	7.502000,,,,,
0.926462	452.003053	7.602000,,,,,
0.926993	451.972297	7.702000,,,,,
0.926838	451.997213	7.802000,,,,,
0.926893	451.889893	7.902000,,,,,
0.926663	451.862323	8.002000,,,,,
0.927375	451.776370	8.102000,,,,,
0.928661	451.670635	8.202000,,,,,
0.927995	451.703064	8.302000,,,,,
0.927712	451.693151	8.402000,,,,,
0.927641	451.714018	8.502000,,,,,
0.927910	451.752677	8.602000,,,,,
0.928188	451.663099	8.702000,,,,,
0.928318	451.717677	8.802000,,,,,
0.928207	451.690053	8.902000,,,,,
0.927901	451.686391	9.002000,,,,,
0.929136	451.443552	9.102000,,,,,
0.929827	451.406001	9.202000,,,,,
0.929780	451.410961	9.302000,,,,,
0.928916	451.526473	9.402000,,,,,
0.929769	451.457992	9.502000,,,,,
0.929901	451.400584	9.602000,,,,,
0.929871	451.411721	9.702000,,,,,
0.928631	451.527991	9.802000,,,,,
0.929198	451.418914	9.902000,,,,,
0.930086	451.378796	10.002000,,,,,
0.930327	451.317206	10.102000,,,,,
0.931112	451.174415	10.202000,,,,,
0.931531	451.074253	10.302000,,,,,
0.931632	451.221586	10.402000,,,,,
0.931360	451.162467	10.502000,,,,,
0.930434	451.226446	10.602000,,,,,
0.931423	451.163442	10.702000,,,,,
0.931296	451.137560	10.802000,,,,,
0.931269	451.165006	10.902000,,,,,
0.931516	451.108825	11.002000,,,,,
0.931274	451.130241	11.103000,,,,,
0.931472	451.107890	11.202000,,,,,
0.933062	450.941492	11.302000,,,,,
0.933713	450.859054	11.402000,,,,,
0.933439	450.918799	11.503000,,,,,
0.932718	450.912473	11.602000,,,,,
0.932590	450.865876	11.702000,,,,,
0.933354	450.929807	11.803000,,,,,
0.932410	450.946358	11.902000,,,,,
0.932375	451.043207	12.002000,,,,,
0.933216	450.948101	12.102000,,,,,
0.933372	450.944683	12.202000,,,,,
0.933895	450.805763	12.302000,,,,,
0.934409	450.646014	12.402000,,,,,
0.934606	450.647763	12.502000,,,,,
0.934615	450.631770	12.602000,,,,,
0.934856	450.618985	12.702000,,,,,
0.934877	450.593814	12.802000,,,,,
0.934336	450.687611	12.902000,,,,,
0.934188	450.663144	13.002000,,,,,
0.934028	450.707164	13.102000,,,,,
0.934660	450.668335	13.202000,,,,,
0.934554	450.653264	13.302000,,,,,
0.936347	450.255646	13.402000,,,,,
