probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,Unnamed: 5
-2.250000E+01,-4.0991370000000005e-08,9.91e+37,1488.017,21508.0,
-2.225000E+01,-2.5838580000000002e-08,9.91e+37,1489.096,21508.0,
-2.200000E+01,-1.321127e-08,9.91e+37,1490.1760000000002,21508.0,
-2.175000E+01,-1.371635e-08,9.91e+37,1491.234,21508.0,
-2.150000E+01,-2.6043249999999995e-09,9.91e+37,1492.2939999999999,21508.0,
-2.125000E+01,-5.839565e-10,9.91e+37,1493.366,21508.0,
-2.100000E+01,4.971654e-09,9.91e+37,1494.4470000000001,21508.0,
-2.075000E+01,9.011985e-09,9.91e+37,1495.505,21508.0,
-2.050000E+01,8.506940999999999e-09,9.91e+37,1496.565,21508.0,
-2.025000E+01,2.0122900000000002e-08,9.91e+37,1497.6270000000002,21508.0,
-2.000000E+01,1.3557350000000001e-08,9.91e+37,1498.6860000000001,21508.0,
-1.975000E+01,2.214306e-08,9.91e+37,1499.745,21508.0,
-1.950000E+01,2.214306e-08,9.91e+37,1500.807,21508.0,
-1.925000E+01,2.971868e-08,9.91e+37,1501.886,21508.0,
-1.900000E+01,3.72943e-08,9.91e+37,1502.9460000000001,21508.0,
-1.875000E+01,3.7799339999999996e-08,9.91e+37,1504.03,21508.0,
-1.850000E+01,4.08296e-08,9.91e+37,1505.089,21508.0,
-1.825000E+01,4.739515e-08,9.91e+37,1506.148,21508.0,
-1.800000E+01,4.4869900000000005e-08,9.91e+37,1507.211,21508.0,
-1.775000E+01,5.04254e-08,9.91e+37,1508.273,21508.0,
-1.750000E+01,5.497085e-08,9.91e+37,1509.33,21508.0,
-1.725000E+01,6.557661999999999e-08,9.91e+37,1510.389,21508.0,
-1.700000E+01,5.951611e-08,9.91e+37,1511.4479999999999,21508.0,
-1.675000E+01,6.810183e-08,9.91e+37,1512.507,21508.0,
-1.650000E+01,6.759678e-08,9.91e+37,1513.565,21508.0,
-1.625000E+01,6.961695e-08,9.91e+37,1514.621,21508.0,
-1.600000E+01,7.46674e-08,9.91e+37,1515.6770000000001,21508.0,
-1.575000E+01,8.426314e-08,9.91e+37,1516.735,21508.0,
-1.550000E+01,7.719256e-08,9.91e+37,1517.7939999999999,21508.0,
-1.525000E+01,8.57783e-08,9.91e+37,1518.854,21508.0,
-1.500000E+01,8.577823e-08,9.91e+37,1519.912,21508.0,
-1.475000E+01,8.931357e-08,9.91e+37,1520.973,21508.0,
