wavelength,intensity
539,1.98
540,-1.27
541,2.71
542,3.22
543,3.32
544,10.8
545,0.93
546,6.85
547,2.2
548,-0.73
549,1.44
550,10.83
551,7.18
552,3.82
553,3.22
554,5.6
555,-2.1
556,-4.45
557,2.68
558,6.07
559,5.52
560,2.96
561,1.74
562,0.84
563,0.55
564,-0.54
565,14.73
566,4.82
567,3.86
568,2.14
569,2.73
570,0.21
571,2.77
572,2.07
573,9.19
574,11.47
575,12.68
576,6.95
577,6.81
578,2.57
579,3.5
580,4.14
581,8.55
582,5.81
583,5.96
584,5.71
585,2.97
586,1.11
587,2.63
588,49.59
589,32.49
590,6.76
591,0.3
592,9.1
593,6.32
594,5.88
595,5.35
596,5.32
597,-2.96
598,4.09
599,6.65
600,6.64
601,4.94
602,4.67
603,4.66
604,0.36
605,8.57
606,-0.76
607,-2.05
608,4.27
609,1.86
610,5.48
611,3.17
612,11.25
613,1.65
614,10
615,7.32
616,1.21
617,5.53
618,8.6
619,4.21
620,1.68
621,4.87
622,6.87
623,1.42
624,4.37
625,3.42
626,8.68
627,11.36
628,6.46
629,4.43
630,11.89
631,1.1
632,1.83
633,5.87
634,8.7
635,-1.52
636,6.55
637,7.28
638,1.22
639,5.45
640,5.9
641,3.09
642,9.59
643,5.74
644,7.79
645,-0.24
646,0.49
647,6.98
648,5.87
649,7.04
650,3.58
651,3.64
652,3.48
653,11.36
654,12.41
655,4.99
656,9.36
657,17
658,13.94
659,6.08
660,-0.05
661,10.9
662,8.71
663,5.82
664,4.52
665,3.05
666,-0.64
667,8.77
668,53.79
669,72.23
670,23.8
671,15.86
672,5.04
673,1.85
674,-1.86
675,6.08
676,4.8
677,6.78
678,1.63
679,14.25
680,6.36
681,6.01
682,1.04
683,9.62
684,7.79
685,-0.89
686,4.85
687,7.85
688,-0.89
689,9.62
690,9.22
691,1.28
692,1.28
693,5.9
694,0.73
695,2.91
696,12.57
697,4.63
698,5.04
699,6.01
700,5.18
701,6.46
702,6.32
703,4.22
704,0.29
705,2.97
706,-0.46
707,24.08
708,16.48
709,1.43
710,6.38
711,-0.2
712,-2.1
713,2.85
714,4.88
715,1.9
716,-2.28
717,-0.95
718,1.18
719,2.34
720,0.77
721,-0.18
722,2.32
723,1.76
724,-3.81
725,0.17
726,4.39
727,8.65
728,6.97
729,17.43
730,8.34
731,1.21
732,6.17
733,0.58
734,13.36
735,5.99
736,6.57
737,4.98
738,2.9
739,3.81
740,2.61
741,0
742,1.94
743,9.88
744,5.83
745,-3.16
746,5.89
747,4.25
748,5.25
749,2.5
750,3.87
751,0.71
752,4.19
753,2.71
754,6.89
755,2.99
756,3.83
757,8.35
758,1.48
759,6.67
760,12.85
761,7.75
762,6.62
763,6.55
764,4.9
765,0.79
766,1.98
767,0.55
768,-2.49
769,-1.2
770,-0.1
771,-3.15
772,4.51
773,7.85
774,6.36
775,0.55
776,1.29
777,5.37
778,9.18
779,13.61
780,10.84
781,-5.04
782,3.96
783,1.99
784,1.87
785,-0.98
786,1.46
787,10.32
788,4.33
789,3.69
790,5.98
791,1.46
792,1.76
793,8.85
794,5.62
795,6.83
796,2.85
797,10.67
798,1.43
799,3.73
800,2.02
801,3.7
802,8.84
803,4.34
804,-0.14
805,-0.78
806,4.58
807,6.37
808,4.47
809,2.07
810,5.44
811,5.45
812,5.25
813,5.7
814,4.22
815,2.51
816,4.24
817,2.9
818,6.57
819,9.84
820,-0.91
821,5.41
822,3.88
823,1.72
824,5.7
825,3.19
826,3.61
827,12.12
828,4.53
829,2.88
830,2.5
831,2.49
832,5.23
833,-2.52
834,1.55
835,1.03
836,7.1
837,6.31
838,5.96
839,7.01
840,0.24
841,4.43
842,-0.15
843,7.24
844,0.02
845,-1.18
846,12.1
847,1.95
848,-1.51
849,6.61
850,-0.77
851,-2.16
852,2.92
853,6.98
854,3.59
855,6.16
856,1.1
857,0.56
858,-3.2
859,5.13
860,2.6
861,1.28
862,9.33
863,-2.14
864,-4.79
865,2.29
866,6.78
867,3.09
868,0.79
869,-7.15
870,1.93
871,2.72
872,5.92
873,-0.11
874,5.75
875,-0.84
876,9.5
877,-4.35
878,3.73
879,2.46
880,7.62
881,2.07
882,7.57
883,1.79
884,6.47
885,4.44
886,5.49
887,3.41
888,-5.1
889,9.48
890,6.74
891,6.76
892,8.56
893,0.61
894,4.12
895,1.94
896,2.32
897,-3.07
898,2.31
899,-0.56
900,6.92
901,3.92
902,0.62
903,4.46
904,1.17
905,4.43
906,1.13
907,2.58
908,-0.21
909,3.07
910,0.52
911,1.78
912,0.68
913,-1.22
914,2.94
915,5.23
916,4.53
917,5.79
918,0.68
919,6.29
920,-0.55
921,1.89
922,0.59
923,2.92
924,3.02
925,8.37
926,0.68
927,-0.92
928,4.19
929,0.2
930,0.06
931,10.45
932,-1.11
933,4.25
934,-2.31
935,5.21
936,2.64
937,4.93
938,1.85
939,3.74
940,1.81
941,2.17
942,5.09
943,2.95
944,6.83
945,1.52
946,1.02
947,1.21
948,4.6
949,3.26
950,-0.17
951,1.45
952,1.46
953,5.19
954,2.39
955,4.82
956,4.47
957,-4.26
958,11.24
959,7.73
960,3.45
961,-0.96
962,-0.07
963,4.78
964,0.63
965,2.75
966,7.36
967,-1.55
968,-0.24
969,-1.25
970,-2.33
971,6.08
972,7.18
973,7.33
974,-0.82
975,4.8
976,3.69
977,1.9
978,-1.35
979,4.46
980,1.14
981,8.09
982,-0.43
983,4.12
984,-1.94
985,2.53
986,3.7
987,5.07
988,8.72
989,0.4
990,4.64
991,4.7
992,5.72
993,2.47
994,2.4
995,8.72
996,3.95
997,5.26
998,7.72
999,6.65
1000,5.09
